time,percentage,div_id
1.001,13,"['10', '11', '12']"
2.002,13,"['8', '9', '10']"
3.003,11,"['2', '3']"
4.004,4,"['2', '3', '4']"
5.006,5,"['2', '3', '4', '5', '6']"
6.006,7,"['2', '3', '4', '5', '6']"
7.008,7,"['4', '5', '6', '7', '8']"
8.01,9,"['4', '5', '6', '7', '8']"
9.01,9,"['6', '7', '8', '9']"
10.012,10,"['6', '7', '8', '9']"
11.013,10,"['7', '8', '9']"
12.013,10,"['9', '10', '11']"
13.014,12,"['10', '11', '12', '13', '14', '15']"
14.015,16,"['10', '11', '12', '13', '14', '15']"
15.018,16,"['10', '11', '12', '13', '14', '15']"
16.019,16,"['11', '12', '13', '14', '15', '16']"
17.02,17,"['11', '12', '13', '14', '15', '16']"
18.021,17,"['11', '12', '13', '14', '15', '16']"
19.022,17,"['11', '12', '13', '14', '15', '16', '17']"
20.025,18,"['12', '13', '14', '15', '16', '17', '18']"
21.026,19,"['12', '13', '14', '15', '16', '17', '18']"
22.028,19,"['12', '13', '14', '15', '16', '17', '18']"
23.029,19,"['16', '17', '18', '19', '20', '21']"
24.03,22,"['20', '21', '22', '23', '24']"
25.03,25,"['20', '21', '22', '23', '24']"
26.032,25,"['22', '23', '24', '25', '26', '27']"
27.034,28,"['25', '26', '27', '28', '29', '30']"
28.035,31,"['27', '28', '29', '30', '31']"
